CALENDAR DATE,CALENDAR TIME,SYMBOL,LAST PRICE,LAST SHARES,LAST PRICE
7/20/2009,40014.4306,F2 CL\U09,65.25,1,0
7/20/2009,40014.43421,F2 CL\U09,65.23,2,1
7/20/2009,40014.43763,F2 CL\U09,65.14,2,0
7/20/2009,40014.44103,F2 CL\U09,64.88,1,1
7/20/2009,40014.44103,F2 CL\U09,64.88,2,1
7/20/2009,40014.44452,F2 CL\U09,64.94,1,0
7/20/2009,40014.45143,F2 CL\U09,64.66,2,1
7/20/2009,40014.46186,F2 CL\U09,64.56,1,1
7/20/2009,40014.46532,F2 CL\U09,64.43,2,1
7/20/2009,40014.46532,F2 CL\U09,64.43,1,1
7/20/2009,40014.46879,F2 CL\U09,64.46,1,0
7/20/2009,40014.47417,F2 CL\U09,64.61,3,0
7/20/2009,40014.4792,F2 CL\U09,64.84,1,0
7/20/2009,40014.4792,F2 CL\U09,64.84,1,0
7/20/2009,40014.48615,F2 CL\U09,64.75,1,1
7/20/2009,40014.48615,F2 CL\U09,64.75,1,1
7/20/2009,40014.48963,F2 CL\U09,64.88,1,0
7/20/2009,40014.48963,F2 CL\U09,64.88,1,0
7/20/2009,40014.49658,F2 CL\U09,64.74,2,1
7/20/2009,40014.50351,F2 CL\U09,64.85,1,0
7/20/2009,40014.50351,F2 CL\U09,64.85,1,0
7/20/2009,40014.5072,F2 CL\U09,64.79,1,1
7/20/2009,40014.51046,F2 CL\U09,64.89,1,0
7/20/2009,40014.51399,F2 CL\U09,65.08,1,0
7/20/2009,40014.51399,F2 CL\U09,65.08,1,0
7/20/2009,40014.52788,F2 CL\U09,65.17,1,1
7/20/2009,40014.52789,F2 CL\U09,65.17,1,1
7/20/2009,40014.53131,F2 CL\U09,65.36,1,0
7/20/2009,40014.53131,F2 CL\U09,65.36,2,0
7/20/2009,40014.53486,F2 CL\U09,65.29,2,1
7/20/2009,40014.53824,F2 CL\U09,65.41,1,0
7/20/2009,40014.53824,F2 CL\U09,65.41,1,0
7/20/2009,40014.54521,F2 CL\U09,65.2,3,1
7/20/2009,40014.54954,F2 CL\U09,65.11,1,0
7/20/2009,40014.54956,F2 CL\U09,65.11,1,0
7/20/2009,40014.55215,F2 CL\U09,65.03,1,1
7/20/2009,40014.55215,F2 CL\U09,65.03,1,1
7/20/2009,40014.56603,F2 CL\U09,64.79,1,1
7/20/2009,40014.57299,F2 CL\U09,64.86,1,0
7/20/2009,40014.57646,F2 CL\U09,65.07,1,0
7/20/2009,40014.57646,F2 CL\U09,65.07,1,0
7/20/2009,40014.5799,F2 CL\U09,65.11,1,1
7/20/2009,40014.58338,F2 CL\U09,65.24,1,1
7/20/2009,40014.58686,F2 CL\U09,65.37,3,0
7/20/2009,40014.59061,F2 CL\U09,65.43,2,1
7/20/2009,40014.59482,F2 CL\U09,65.55,2,0
7/20/2009,40014.59482,F2 CL\U09,65.55,1,0
7/20/2009,40014.59736,F2 CL\U09,65.54,1,1
7/20/2009,40014.60421,F2 CL\U09,65.29,2,1
7/20/2009,40014.60421,F2 CL\U09,65.29,1,1
7/20/2009,40014.63199,F2 CL\U09,65.39,1,0
7/20/2009,40014.63199,F2 CL\U09,65.39,1,0
7/20/2009,40014.63687,F2 CL\U09,65.33,2,1
7/20/2009,40014.64594,F2 CL\U09,65.37,1,0
7/20/2009,40014.64983,F2 CL\U09,65.35,1,1
7/20/2009,40014.6806,F2 CL\U09,65.43,1,0
7/20/2009,40014.68779,F2 CL\U09,65.45,1,0
7/20/2009,40014.69523,F2 CL\U09,65.4,3,1
7/20/2009,40014.69861,F2 CL\U09,65.38,1,0
7/20/2009,40014.69901,F2 CL\U09,65.38,1,0
7/20/2009,40014.70145,F2 CL\U09,65.36,1,1
7/21/2009,40015.25004,F2 CL\U09,65.18,1,1
7/21/2009,40015.25378,F2 CL\U09,65.25,1,1
7/21/2009,40015.26394,F2 CL\U09,65.25,1,1
7/21/2009,40015.28488,F2 CL\U09,65.14,1,1
7/21/2009,40015.2883,F2 CL\U09,65.28,1,0
7/21/2009,40015.30565,F2 CL\U09,65.2,1,1
7/21/2009,40015.31601,F2 CL\U09,65.43,1,0
7/21/2009,40015.31601,F2 CL\U09,65.43,1,0
7/21/2009,40015.31601,F2 CL\U09,65.43,1,0
7/21/2009,40015.31948,F2 CL\U09,65.5,1,0
7/21/2009,40015.31948,F2 CL\U09,65.5,1,0
7/21/2009,40015.33017,F2 CL\U09,65.62,1,1
7/21/2009,40015.33687,F2 CL\U09,65.88,1,1
7/21/2009,40015.35768,F2 CL\U09,66.15,1,0
7/21/2009,40015.36118,F2 CL\U09,66.03,1,0
7/21/2009,40015.36809,F2 CL\U09,66.04,1,1
7/21/2009,40015.37157,F2 CL\U09,66.08,1,0
7/21/2009,40015.37548,F2 CL\U09,66.11,1,1
7/21/2009,40015.37549,F2 CL\U09,66.11,1,1
7/21/2009,40015.37857,F2 CL\U09,66.31,1,0
7/21/2009,40015.38198,F2 CL\U09,66.6,1,0
7/21/2009,40015.38546,F2 CL\U09,66.37,1,1
7/21/2009,40015.38909,F2 CL\U09,66.38,1,0
7/21/2009,40015.38909,F2 CL\U09,66.38,2,0
7/21/2009,40015.3924,F2 CL\U09,66.17,1,1
7/21/2009,40015.39589,F2 CL\U09,66.38,1,0
7/21/2009,40015.40281,F2 CL\U09,66.25,1,1
7/21/2009,40015.40281,F2 CL\U09,66.25,1,1
7/21/2009,40015.4063,F2 CL\U09,66.05,1,1
7/21/2009,40015.4063,F2 CL\U09,66.05,1,1
7/21/2009,40015.4063,F2 CL\U09,66.05,1,1
7/21/2009,40015.40976,F2 CL\U09,65.92,1,1
7/21/2009,40015.41326,F2 CL\U09,65.92,1,1
7/21/2009,40015.4167,F2 CL\U09,66.11,1,0
7/21/2009,40015.41671,F2 CL\U09,66.11,1,0
7/21/2009,40015.42019,F2 CL\U09,65.74,1,1
7/21/2009,40015.43755,F2 CL\U09,65.88,1,0
7/21/2009,40015.45145,F2 CL\U09,65.75,1,1
7/21/2009,40015.45145,F2 CL\U09,65.75,1,1
7/21/2009,40015.45669,F2 CL\U09,65.76,1,0
7/21/2009,40015.5938,F2 CL\U09,65.7,1,0
7/21/2009,40015.5938,F2 CL\U09,65.7,1,0
7/21/2009,40015.60114,F2 CL\U09,65.5,2,0
7/21/2009,40015.60421,F2 CL\U09,65.61,1,1
7/21/2009,40015.61529,F2 CL\U09,65.55,1,1
7/21/2009,40015.61812,F2 CL\U09,65.59,1,0
7/21/2009,40015.62919,F2 CL\U09,65.61,1,1
7/21/2009,40015.6424,F2 CL\U09,65.56,1,0
7/21/2009,40015.66671,F2 CL\U09,65.64,1,1
7/21/2009,40015.6806,F2 CL\U09,65.76,2,1
7/21/2009,40015.6807,F2 CL\U09,65.76,1,1
7/21/2009,40015.69104,F2 CL\U09,65.22,2,0
7/21/2009,40015.69505,F2 CL\U09,65.15,1,0
7/21/2009,40015.69797,F2 CL\U09,65.01,2,1
7/22/2009,40016.0904,F2 CL\U09,65.21,1,0
7/22/2009,40016.0904,F2 CL\U09,65.21,1,0
7/22/2009,40016.0904,F2 CL\U09,65.21,1,0
7/22/2009,40016.10438,F2 CL\U09,65.32,1,0
