CALENDAR DATE,CALENDAR TIME,SYMBO,LAST PRICE,LAST SHARES,SIDE
05/26/09,39959.34772,F2 ZN\M09,119.40625,11,1
05/26/09,39959.35078,F2 ZN\M09,119.4375,2,0
05/26/09,39959.35078,F2 ZN\M09,119.4375,10,0
05/26/09,39959.35425,F2 ZN\M09,119.4375,1,1
05/26/09,39959.35425,F2 ZN\M09,119.4375,1,1
05/26/09,39959.35425,F2 ZN\M09,119.4375,2,1
05/26/09,39959.35425,F2 ZN\M09,119.4375,5,1
05/26/09,39959.35832,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35832,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35832,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35832,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35836,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35845,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35845,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35845,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35845,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35846,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35846,F2 ZN\M09,119.40625,1,0
05/26/09,39959.35849,F2 ZN\M09,119.40625,2,0
05/26/09,39959.35849,F2 ZN\M09,119.40625,1,0
05/26/09,39959.3585,F2 ZN\M09,119.40625,6,0
05/26/09,39959.36234,F2 ZN\M09,119.421875,16,1
05/26/09,39959.36594,F2 ZN\M09,119.453125,1,0
05/26/09,39959.36957,F2 ZN\M09,119.453125,6,1
05/26/09,39959.37161,F2 ZN\M09,119.46875,1,0
05/26/09,39959.46576,F2 ZN\M09,119.140625,5,1
05/26/09,39959.46895,F2 ZN\M09,119.125,1,1
05/26/09,39959.46895,F2 ZN\M09,119.125,3,1
05/26/09,39959.47229,F2 ZN\M09,119.0625,4,0
05/26/09,39959.47229,F2 ZN\M09,119.0625,5,0
05/26/09,39959.47229,F2 ZN\M09,119.0625,3,0
05/26/09,39959.47229,F2 ZN\M09,119.0625,4,0
05/26/09,39959.47229,F2 ZN\M09,119.0625,2,0
05/26/09,39959.47229,F2 ZN\M09,119.0625,2,0
05/26/09,39959.47229,F2 ZN\M09,119.0625,6,0
05/26/09,39959.47924,F2 ZN\M09,119,1,0
05/26/09,39959.48271,F2 ZN\M09,119,2,1
05/26/09,39959.48966,F2 ZN\M09,118.96875,2,0
05/26/09,39959.49313,F2 ZN\M09,118.96875,1,1
05/26/09,39959.49657,F2 ZN\M09,118.96875,4,1
05/26/09,39959.49657,F2 ZN\M09,118.96875,3,1
05/26/09,39959.49657,F2 ZN\M09,118.96875,6,1
05/26/09,39959.49657,F2 ZN\M09,118.96875,4,1
05/26/09,39959.50426,F2 ZN\M09,118.984375,1,1
05/26/09,39959.50426,F2 ZN\M09,118.984375,1,1
05/26/09,39959.50427,F2 ZN\M09,118.984375,5,1
