config/allocation_config_ty.csv
Total number of trades is : 13579
Sell:16673 Buy:16761
From: Mon May 25 12:00:00 2009
To:   Wed Dec 30 11:00:00 2009

Length 33434
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.3  119.406 0 1
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 1 0
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.438 0 1
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.406 1 0
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.422 0 1
39959.4  119.453 1 0
39959.4  119.453 0 1
39959.4  119.453 0 1
39959.4  119.453 0 1
39959.4  119.453 0 1
39959.4  119.453 0 1
39959.4  119.453 0 1
39959.4  119.469 1 0
39959.5  119.141 0 1
39959.5  119.141 0 1
39959.5  119.141 0 1
39959.5  119.141 0 1
39959.5  119.141 0 1
39959.5  119.125 0 1
39959.5  119.125 0 1
39959.5  119.125 0 1
39959.5  119.125 0 1
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119.062 1 0
39959.5  119 1 0
39959.5  119 0 1
39959.5  119 0 1
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.984 0 1
39959.5  118.984 0 1
39959.5  118.984 0 1
39959.5  118.984 0 1
39959.5  118.984 0 1
39959.5  118.984 0 1
39959.5  118.984 0 1
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.969 1 0
39959.5  118.938 1 0
39959.5  118.875 1 0
39959.5  118.875 1 0
39959.5  118.875 1 0
39959.5  118.891 1 0
39959.5  118.891 1 0
39959.5  118.891 1 0
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 1 0
39959.5  118.844 1 0
39959.5  118.844 1 0
39959.5  118.844 1 0
39959.5  118.828 0 1
39959.5  118.828 0 1
39959.5  118.828 0 1
39959.5  118.828 0 1
39959.5  118.828 0 1
39959.5  118.812 1 0
39959.5  118.812 1 0
39959.5  118.812 1 0
39959.5  118.812 1 0
39959.5  118.812 1 0
39959.5  118.812 1 0
39959.5  118.812 1 0
39959.5  118.781 0 1
39959.5  118.781 0 1
39959.5  118.781 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.812 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.844 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.5  118.969 0 1
39959.6  118.984 1 0
39959.6  118.984 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.875 1 0
39959.6  118.891 1 0
39959.6  118.891 1 0
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
39959.6  118.906 0 1
