Transaction Type,Account,ClOrdID,Sec ID,Side,Qty,TPx,Exec Broker,Clearing Broker,Give-up Ref
D01,052G1135,F2 ZN\M09,ty,SELL,5,119.40625000,MS,MS,00000001
D01,052G1135,F2 ZN\M09,ty,SELL,2,119.40625000,MS,MS,00000002
D01,052G1135,F2 ZN\M09,ty,SELL,2,119.40625000,MS,MS,00000003
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.40625000,MS,MS,00000004
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.40625000,MS,MS,00000005
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.43750000,MS,MS,00000003
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.43750000,MS,MS,00000005
D01,052G1135,F2 ZN\M09,ty,BUY,6,119.43750000,MS,MS,00000001
D01,052G1135,F2 ZN\M09,ty,BUY,2,119.43750000,MS,MS,00000002
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.43750000,MS,MS,00000003
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.43750000,MS,MS,00000004
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.43750000,MS,MS,00000001
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.43750000,MS,MS,00000001
D01,052G1135,F2 ZN\M09,ty,SELL,2,119.43750000,MS,MS,00000001
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.43750000,MS,MS,00000002
D01,052G1135,F2 ZN\M09,ty,SELL,2,119.43750000,MS,MS,00000003
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.43750000,MS,MS,00000004
D01,052G1135,F2 ZN\M09,ty,SELL,1,119.43750000,MS,MS,00000005
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.40625000,MS,MS,00000003
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.40625000,MS,MS,00000005
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.40625000,MS,MS,00000004
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.40625000,MS,MS,00000003
D01,052G1135,F2 ZN\M09,ty,BUY,1,119.40625000,MS,MS,00000002
