Transaction Type,Account,ClOrdID,Sec ID,Side,Qty,TPx,Exec Broker,Clearing Broker,Give-up Ref
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,63.93000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,2,63.93000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,63.93000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.16000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.17000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.17000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.17000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.32000000,MS,MS,00000005
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.38000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.38000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.39000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.39000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.40000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.42000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.43000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.43000000,MS,MS,00000006
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.43000000,MS,MS,00000004
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.44000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.44000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.44000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.44000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.44000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.46000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.47000000,MS,MS,00000002
D01,052G1135,F2 CL\U09,crudeoil,SELL,1,64.48000000,MS,MS,00000001
D01,052G1135,F2 CL\U09,crudeoil,BUY,1,64.49000000,MS,MS,00000003
D01,052G1135,F2 CL\U09,crudeoil,SELL,2,64.50000000,MS,MS,00000002
