Transaction Type,Account,ClOrdID,Sec ID,Side,Qty,TPx,Exec Broker,Clearing Broker,Give-up Ref
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,78.96000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.08000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,78.78000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,78.78000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,BUY,2,78.92000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.14000000,MS,MS,00000002
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.14000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.03000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,78.98000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.15000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.15000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.40000000,MS,MS,00000002
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.86000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.75000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.73000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,80.15000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,80.15000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,80.20000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.72000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.71000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.70000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.53000000,MS,MS,00000006
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.55000000,MS,MS,00000006
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.83000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,BUY,1,79.83000000,MS,MS,00000003
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.71000000,MS,MS,00000001
D01,052G1135,F2 CL\Z09,crudeoil,SELL,1,79.63000000,MS,MS,00000003
